LATITUDE,LONGITUDE
35.53997041,139.52116595
35.53989983,139.52126676
35.53984457,139.52134404
35.53981334,139.52138970
35.53980785,139.52139208
35.53980911,139.52138507
35.53980660,139.52137409
35.53980406,139.52137651
35.53977186,139.52142413
35.53974565,139.52146847
35.53970436,139.52152786
35.53965914,139.52160068
35.53960596,139.52167959
35.53955097,139.52176493
35.53948850,139.52185869
35.53942738,139.52195389
35.53936271,139.52205267
35.53929732,139.52215181
35.53923809,139.52224676
35.53918884,139.52232890
35.53914716,139.52240304
35.53911228,139.52247144
35.53908679,139.52252453
35.53905621,139.52256260
35.53902007,139.52257804
35.53898744,139.52259457
35.53893756,139.52255308
35.53887008,139.52252622
35.53881077,139.52249744
35.53875715,139.52246343
35.53870733,139.52243129
35.53864925,139.52240137
35.53858088,139.52236918
35.53851987,139.52233443
35.53845795,139.52230354
35.53838684,139.52226040
35.53832757,139.52222906
35.53827770,139.52219292
35.53821612,139.52216291
35.53815363,139.52211784
35.53808425,139.52207812
35.53801309,139.52204639
35.53794257,139.52201124
35.53788366,139.52198194
35.53782460,139.52194738
35.53776512,139.52191605
35.53769626,139.52189232
35.53761826,139.52184858
35.53752651,139.52180358
35.53743006,139.52175213
35.53733988,139.52170339
35.53725037,139.52166028
35.53717236,139.52161153
35.53709553,139.52155879
35.53701646,139.52152782
35.53694699,139.52150329
35.53687886,139.52149443
35.53680471,139.52149120
35.53672507,139.52148434
35.53664526,139.52147713
35.53656801,139.52146969
35.53649729,139.52146497
35.53643201,139.52145509
35.53636329,139.52144647
35.53630014,139.52144175
35.53623617,139.52142830
35.53618046,139.52142287
35.53612495,139.52141740
35.53606657,139.52140773
35.53601653,139.52140729
35.53597043,139.52140259
35.53591939,139.52139893
35.53587289,139.52139454
35.53582190,139.52138979
35.53576545,139.52138611
35.53570113,139.52138356
35.53563641,139.52138086
35.53556492,139.52139689
35.53549512,139.52141616
35.53542334,139.52145548
35.53534638,139.52150004
35.53525980,139.52153442
35.53517611,139.52157351
35.53510054,139.52160500
35.53502284,139.52163831
35.53496109,139.52167776
35.53489835,139.52171589
35.53482389,139.52174937
35.53474532,139.52177952
35.53466672,139.52181421
35.53458259,139.52184894
35.53449643,139.52188718
35.53440858,139.52193382
35.53432358,139.52198249
35.53423750,139.52204118
35.53414892,139.52209857
35.53405945,139.52216255
35.53397160,139.52222589
35.53387790,139.52229505
35.53378499,139.52236429
35.53369318,139.52242882
35.53360515,139.52249678
35.53351828,139.52255855
35.53343073,139.52261905
35.53334283,139.52266473
35.53325088,139.52270317
35.53315536,139.52273999
35.53307285,139.52276738
35.53299894,139.52278886
35.53293535,139.52282476
35.53287917,139.52286925
35.53283116,139.52292265
35.53277582,139.52298143
35.53271554,139.52303968
35.53265557,139.52309981
35.53259971,139.52314867
35.53254251,139.52320503
35.53248296,139.52325518
35.53242127,139.52329572
35.53236045,139.52333125
35.53230428,139.52336299
35.53224150,139.52338859
35.53218199,139.52341649
35.53211918,139.52345617
35.53205675,139.52348280
35.53199892,139.52351526
35.53194309,139.52354255
35.53190118,139.52355725
35.53187686,139.52357251
35.53187171,139.52357711
35.53187275,139.52357320
35.53187248,139.52355803
35.53186856,139.52356056
35.53185075,139.52356827
35.53177399,139.52360469
35.53171987,139.52362502
35.53164648,139.52364063
35.53157002,139.52366179
35.53150683,139.52367890
35.53143971,139.52370042
35.53136126,139.52371313
35.53126012,139.52370150
35.53109776,139.52367764
35.53095396,139.52366849
35.53080990,139.52366496
35.53066130,139.52366878
35.53052355,139.52366864
35.53039766,139.52366766
35.53025906,139.52365513
35.53013540,139.52365683
35.53000953,139.52365522
35.52988734,139.52365242
35.52977790,139.52365082
35.52967597,139.52364564
35.52958984,139.52362877
35.52950281,139.52358646
35.52940991,139.52353830
35.52932088,139.52348857
35.52924264,139.52343876
35.52917042,139.52339490
35.52909478,139.52335639
35.52903868,139.52331862
35.52898025,139.52328111
35.52895409,139.52326233
35.52892627,139.52324551
35.52890703,139.52323509
35.52890749,139.52323570
35.52890738,139.52323603
35.52890629,139.52324379
35.52890682,139.52324282
35.52890243,139.52324485
35.52890244,139.52324320
35.52890104,139.52325017
35.52890265,139.52326195
35.52889746,139.52326107
35.52888781,139.52322770
35.52886648,139.52320420
35.52884552,139.52319037
35.52882150,139.52317539
35.52878962,139.52315851
35.52875115,139.52313556
35.52869693,139.52309415
35.52864051,139.52306884
35.52857933,139.52302451
35.52851124,139.52296143
35.52843976,139.52289894
35.52836213,139.52283685
35.52828261,139.52277485
35.52820083,139.52268590
35.52811863,139.52260748
35.52802615,139.52251463
35.52793870,139.52244050
35.52784421,139.52235941
35.52775258,139.52228609
35.52766548,139.52221390
35.52758171,139.52214583
35.52749667,139.52207603
35.52740724,139.52200514
35.52731509,139.52192884
35.52721793,139.52185271
35.52711738,139.52177064
35.52702013,139.52168855
35.52692648,139.52160685
35.52682564,139.52152414
35.52672125,139.52144449
35.52661795,139.52136234
35.52651899,139.52128656
35.52642210,139.52121205
35.52632370,139.52112895
