SEQNR,	LATITUDE,	LONGITUDE,	TIMESTAMP
153,	49.2144,	9.01984,	2018-10-30T15:47:32.499Z
154,	49.21394,	9.02425,	2018-10-30T15:47:42.499Z
155,	49.2135,	9.03619,	2018-10-30T15:48:09.499Z
156,	49.21467,	9.06145,	2018-10-30T15:49:03.499Z
157,	49.21361,	9.06654,	2018-10-30T15:49:15.499Z
158,	49.21258,	9.06977,	2018-10-30T15:49:26.499Z
159,	49.20311,	9.08481,	2018-10-30T15:50:24.499Z
160,	49.19729,	9.09673,	2018-10-30T15:51:02.499Z
161,	49.18765,	9.12135,	2018-10-30T15:52:20.499Z
162,	49.18623,	9.12834,	2018-10-30T15:52:39.499Z
163,	49.18616,	9.13407,	2018-10-30T15:52:54.499Z
164,	49.18658,	9.13767,	2018-10-30T15:53:02.499Z
165,	49.18775,	9.14459,	2018-10-30T15:53:22.499Z
166,	49.18802,	9.14816,	2018-10-30T15:53:32.499Z
167,	49.18924,	9.1756,	2018-10-30T15:54:51.499Z
168,	49.1881,	9.18863,	2018-10-30T15:55:27.499Z
169,	49.18715,	9.19358,	2018-10-30T15:55:41.499Z
170,	49.18462,	9.21224,	2018-10-30T15:56:37.499Z
171,	49.18231,	9.22379,	2018-10-30T15:57:10.499Z
172,	49.17904,	9.23342,	2018-10-30T15:57:43.499Z
173,	49.17432,	9.24339,	2018-10-30T15:58:16.499Z
174,	49.16404,	9.27285,	2018-10-30T15:59:54.499Z
175,	49.16207,	9.2794,	2018-10-30T16:00:12.499Z
176,	49.15858,	9.29079,	2018-10-30T16:00:47.499Z
177,	49.15415,	9.299,	2018-10-30T16:01:15.499Z
178,	49.13756,	9.30546,	2018-10-30T16:02:23.499Z
179,	49.12318,	9.30012,	2018-10-30T16:03:18.499Z
180,	49.10432,	9.3005,	2018-10-30T16:04:24.499Z
181,	49.10045,	9.29656,	2018-10-30T16:04:38.499Z
182,	49.09437,	9.2927,	2018-10-30T16:04:59.499Z
183,	49.09076,	9.29175,	2018-10-30T16:05:11.499Z
184,	49.08844,	9.29116,	2018-10-30T16:05:18.499Z
185,	49.07544,	9.28442,	2018-10-30T16:06:08.499Z
186,	49.06537,	9.27597,	2018-10-30T16:06:44.499Z
187,	49.06304,	9.27319,	2018-10-30T16:06:54.499Z
188,	49.05867,	9.26909,	2018-10-30T16:07:16.499Z
189,	49.05462,	9.26816,	2018-10-30T16:07:30.499Z
190,	49.04911,	9.26714,	2018-10-30T16:07:48.499Z
191,	49.04446,	9.26342,	2018-10-30T16:08:09.499Z
192,	49.03435,	9.25423,	2018-10-30T16:08:51.499Z
193,	49.02918,	9.25314,	2018-10-30T16:09:08.499Z
194,	49.02446,	9.25056,	2018-10-30T16:09:25.499Z
195,	49.01902,	9.24734,	2018-10-30T16:09:44.499Z
196,	49.01528,	9.24657,	2018-10-30T16:09:56.499Z
197,	49.00972,	9.24269,	2018-10-30T16:10:16.499Z
198,	48.99384,	9.23271,	2018-10-30T16:11:21.499Z
199,	48.97519,	9.22942,	2018-10-30T16:12:28.499Z
200,	48.966,	9.22369,	2018-10-30T16:13:01.499Z
201,	48.96293,	9.22098,	2018-10-30T16:13:13.499Z
202,	48.94785,	9.20029,	2018-10-30T16:14:25.499Z
203,	48.94457,	9.19713,	2018-10-30T16:14:38.499Z
204,	48.93758,	9.19115,	2018-10-30T16:15:04.499Z
205,	48.93353,	9.18627,	2018-10-30T16:15:22.499Z
206,	48.93086,	9.17945,	2018-10-30T16:15:39.499Z
207,	48.92611,	9.16498,	2018-10-30T16:36:15.499Z
208,	48.92164,	9.15838,	2018-10-30T16:36:36.499Z
209,	48.9109,	9.15436,	2018-10-30T16:37:18.499Z
210,	48.90562,	9.15438,	2018-10-30T16:37:37.499Z
211,	48.90208,	9.15412,	2018-10-30T16:37:49.499Z
212,	48.89253,	9.1494,	2018-10-30T16:38:24.499Z
213,	48.88665,	9.14631,	2018-10-30T16:38:45.499Z
214,	48.87394,	9.13761,	2018-10-30T16:39:37.499Z
215,	48.87148,	9.13548,	2018-10-30T16:39:47.499Z
216,	48.86737,	9.13196,	2018-10-30T16:40:03.499Z
217,	48.86311,	9.12843,	2018-10-30T16:40:20.499Z
218,	48.85882,	9.12567,	2018-10-30T16:40:36.499Z
219,	48.8458,	9.13007,	2018-10-30T16:42:39.499Z
220,	48.84005,	9.14103,	2018-10-30T16:43:27.499Z
221,	48.84039,	9.15151,	2018-10-30T16:44:01.499Z
222,	48.83782,	9.16851,	2018-10-30T16:45:48.499Z
