SEQNR,	LATITUDE,	LONGITUDE,	TIMESTAMP
166,	49.07446,	4.79709,	2018-10-09T17:27:01.194Z
167,	49.06684,	4.73113,	2018-10-09T17:29:38.194Z
168,	49.06055,	4.70708,	2018-10-09T17:30:39.194Z
169,	49.04969,	4.67017,	2018-10-09T17:32:13.194Z
170,	49.04662,	4.65687,	2018-10-09T17:32:46.194Z
171,	49.03612,	4.61706,	2018-10-09T17:34:27.194Z
172,	49.033,	4.56341,	2018-10-09T17:36:33.194Z
173,	49.02936,	4.53628,	2018-10-09T17:37:38.194Z
174,	49.03381,	4.45541,	2018-10-09T17:40:50.194Z
175,	49.03414,	4.44517,	2018-10-09T17:41:14.194Z
176,	49.03597,	4.42371,	2018-10-09T17:42:04.194Z
177,	49.03537,	4.41455,	2018-10-09T17:42:26.194Z
178,	49.03447,	4.38581,	2018-10-09T17:43:33.194Z
179,	49.0346,	4.3746,	2018-10-09T17:44:00.194Z
180,	49.04267,	4.32329,	2018-10-09T17:46:05.194Z
181,	49.05026,	4.29626,	2018-10-09T17:47:14.194Z
182,	49.05888,	4.2828,	2018-10-09T17:47:58.194Z
183,	49.07249,	4.26728,	2018-10-09T17:48:58.194Z
184,	49.08903,	4.25911,	2018-10-09T17:50:00.194Z
185,	49.09651,	4.25601,	2018-10-09T17:50:27.194Z
186,	49.11418,	4.25025,	2018-10-09T17:51:32.194Z
187,	49.12245,	4.24077,	2018-10-09T17:52:09.194Z
188,	49.13381,	4.22173,	2018-10-09T17:53:09.194Z
189,	49.14346,	4.21344,	2018-10-09T17:53:48.194Z
190,	49.14834,	4.20772,	2018-10-09T17:54:10.194Z
191,	49.15963,	4.19419,	2018-10-09T17:55:01.194Z
192,	49.17325,	4.16875,	2018-10-09T17:56:18.194Z
193,	49.18277,	4.15179,	2018-10-09T17:57:10.194Z
194,	49.19148,	4.13457,	2018-10-09T17:58:01.194Z
195,	49.19541,	4.12395,	2018-10-09T17:58:29.194Z
196,	49.20095,	4.10509,	2018-10-09T17:59:17.194Z
197,	49.20369,	4.09352,	2018-10-09T17:59:46.194Z
198,	49.20918,	4.06498,	2018-10-09T18:00:55.194Z
199,	49.21048,	4.05466,	2018-10-09T18:01:20.194Z
200,	49.205,	4.02708,	2018-10-09T18:02:28.194Z
201,	49.20491,	4.01786,	2018-10-09T18:02:50.194Z
202,	49.22245,	3.97416,	2018-10-09T18:04:50.194Z
203,	49.23201,	3.96965,	2018-10-09T18:05:26.194Z
204,	49.24543,	3.95965,	2018-10-09T18:06:23.194Z
205,	49.246,	3.93337,	2018-10-09T18:07:27.194Z
206,	49.24321,	3.89778,	2018-10-09T18:08:51.194Z
207,	49.242,	3.88573,	2018-10-09T18:09:20.194Z
208,	49.23442,	3.86068,	2018-10-09T18:10:24.194Z
209,	49.23314,	3.84722,	2018-10-09T18:10:55.194Z
210,	49.22925,	3.82935,	2018-10-09T18:11:39.194Z
211,	49.22048,	3.81309,	2018-10-09T18:12:29.194Z
212,	49.21355,	3.79602,	2018-10-09T18:13:15.194Z
213,	49.20169,	3.7638,	2018-10-09T18:14:42.194Z
214,	49.19042,	3.75406,	2018-10-09T18:15:28.194Z
215,	49.18248,	3.75023,	2018-10-09T18:15:58.194Z
216,	49.16152,	3.72909,	2018-10-09T18:17:28.194Z
217,	49.15087,	3.69605,	2018-10-09T18:18:54.194Z
218,	49.14901,	3.66106,	2018-10-09T18:20:16.194Z
219,	49.14367,	3.63189,	2018-10-09T18:21:27.194Z
220,	49.13943,	3.62069,	2018-10-09T18:21:57.194Z
221,	49.13458,	3.60992,	2018-10-09T18:22:27.194Z
222,	49.13009,	3.59642,	2018-10-09T18:23:03.194Z
223,	49.12843,	3.58575,	2018-10-09T18:23:28.194Z
224,	49.12826,	3.55519,	2018-10-09T18:24:39.194Z
225,	49.12722,	3.54237,	2018-10-09T18:25:09.194Z
226,	49.12115,	3.51784,	2018-10-09T18:26:11.194Z
227,	49.10997,	3.48352,	2018-10-09T18:27:41.194Z
228,	49.1073,	3.46924,	2018-10-09T18:28:15.194Z
229,	49.10186,	3.45262,	2018-10-09T18:28:59.194Z
230,	49.08724,	3.41719,	2018-10-09T18:30:36.194Z
231,	49.08393,	3.4104,	2018-10-09T18:30:56.194Z
232,	49.07779,	3.37285,	2018-10-09T18:32:28.194Z
233,	49.0738,	3.34933,	2018-10-09T18:33:25.194Z
234,	49.0619,	3.33065,	2018-10-09T18:34:26.194Z
235,	49.05805,	3.32558,	2018-10-09T18:34:44.194Z
236,	49.04842,	3.29538,	2018-10-09T18:36:04.194Z
237,	49.0466,	3.26981,	2018-10-09T18:37:04.194Z
238,	49.04417,	3.25714,	2018-10-09T18:37:35.194Z
239,	49.04129,	3.24673,	2018-10-09T18:38:01.194Z
240,	49.0404,	3.21731,	2018-10-09T18:39:10.194Z
241,	49.03948,	3.19769,	2018-10-09T18:39:57.194Z
242,	49.03539,	3.18491,	2018-10-09T18:40:30.194Z
243,	49.03235,	3.17651,	2018-10-09T18:40:52.194Z
244,	49.02737,	3.16632,	2018-10-09T18:41:22.194Z
245,	49.02198,	3.16178,	2018-10-09T18:41:44.194Z
246,	49.00104,	3.12724,	2018-10-09T18:43:49.194Z
247,	48.98029,	3.07583,	2018-10-09T18:46:10.194Z
248,	48.96968,	3.0609,	2018-10-09T18:47:02.194Z
249,	48.96629,	3.05621,	2018-10-09T18:47:18.194Z
250,	48.93274,	3.02546,	2018-10-09T18:49:37.194Z
251,	48.92332,	3.00468,	2018-10-09T18:50:37.194Z
252,	48.91925,	2.99035,	2018-10-09T18:51:14.194Z
253,	48.91239,	2.96852,	2018-10-09T18:52:10.194Z
254,	48.91096,	2.95839,	2018-10-09T18:52:35.194Z
255,	48.89969,	2.92099,	2018-10-09T18:54:12.194Z
256,	48.89543,	2.91025,	2018-10-09T18:54:41.194Z
257,	48.88277,	2.88994,	2018-10-09T18:55:46.194Z
258,	48.87444,	2.87051,	2018-10-09T18:56:41.194Z
259,	48.86399,	2.84831,	2018-10-09T18:57:45.194Z
260,	48.84543,	2.82935,	2018-10-09T18:59:19.194Z
261,	48.83985,	2.81969,	2018-10-09T18:59:49.194Z
262,	48.83411,	2.79992,	2018-10-09T19:00:39.194Z
263,	48.83141,	2.76766,	2018-10-09T19:01:56.194Z
264,	48.83049,	2.75546,	2018-10-09T19:02:24.194Z
265,	48.82899,	2.72314,	2018-10-09T19:03:40.194Z
